full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-code,136923,136923,22000,47,47,0,https://github.com/anthropics/claude-code
claude-code-best/claude-code,20975,20975,16377,13,13,1,https://github.com/claude-code-best/claude-code
jarmuine/claude-code,2236,2236,5936,1,1,1,https://github.com/jarmuine/claude-code
yasasbanukaofficial/claude-code,3691,3691,4775,8,8,3,https://github.com/yasasbanukaofficial/claude-code
shareAI-lab/learn-claude-code,70374,70374,11466,25,25,2,https://github.com/shareAI-lab/learn-claude-code
codeaashu/claude-code,3075,3075,3566,2,2,0,https://github.com/codeaashu/claude-code
ChinaSiro/claude-code-sourcemap,9514,9514,14692,2,2,0,https://github.com/ChinaSiro/claude-code-sourcemap
tanbiralam/claude-code,2015,2015,2687,0,0,0,https://github.com/tanbiralam/claude-code
Alishahryar1/free-claude-code,39215,39215,6255,45,45,5,https://github.com/Alishahryar1/free-claude-code
pengchengneo/Claude-Code,1621,1621,2525,1,1,0,https://github.com/pengchengneo/Claude-Code
RishabhK103/claude-code,101,101,7219,0,0,-1,https://github.com/RishabhK103/claude-code
hesreallyhim/awesome-claude-code,49560,49560,4308,39,39,3,https://github.com/hesreallyhim/awesome-claude-code
shanraisshan/claude-code-best-practice,62300,62300,6230,26,26,3,https://github.com/shanraisshan/claude-code-best-practice
musistudio/claude-code-router,35703,35703,2941,11,11,1,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,28528,28528,2988,4,4,0,https://github.com/davila7/claude-code-templates
LING71671/Open-ClaudeCode,913,913,1215,0,0,0,https://github.com/LING71671/Open-ClaudeCode
Onewon/claude-code,184,184,2249,0,0,0,https://github.com/Onewon/claude-code
Donchitos/Claude-Code-Game-Studios,22756,22756,3273,7,7,2,https://github.com/Donchitos/Claude-Code-Game-Studios
VoltAgent/awesome-claude-code-subagents,23075,23075,2691,15,15,1,https://github.com/VoltAgent/awesome-claude-code-subagents
oboard/claude-code-rev,3243,3243,3827,0,0,0,https://github.com/oboard/claude-code-rev
ponponon/claude_code_src,2313,2313,3535,0,0,-1,https://github.com/ponponon/claude_code_src
anthropics/claude-code-action,8296,8296,1957,4,4,3,https://github.com/anthropics/claude-code-action
Piebald-AI/claude-code-system-prompts,11698,11698,1994,12,12,1,https://github.com/Piebald-AI/claude-code-system-prompts
liuup/claude-code-analysis,3483,3483,1937,1,1,3,https://github.com/liuup/claude-code-analysis
T-Lab-CUHKSZ/claude-code,323,323,612,0,0,0,https://github.com/T-Lab-CUHKSZ/claude-code
diet103/claude-code-infrastructure-showcase,9734,9734,1214,-1,-1,1,https://github.com/diet103/claude-code-infrastructure-showcase
pedrohcgs/claude-code-my-workflow,1383,1383,2722,2,2,2,https://github.com/pedrohcgs/claude-code-my-workflow
frankbria/ralph-claude-code,9516,9516,726,1,1,0,https://github.com/frankbria/ralph-claude-code
