full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-code,75385,75385,6078,102,102,12,https://github.com/anthropics/claude-code
affaan-m/everything-claude-code,67597,67597,8435,679,679,107,https://github.com/affaan-m/everything-claude-code
shareAI-lab/learn-claude-code,23953,23953,4415,210,210,16,https://github.com/shareAI-lab/learn-claude-code
musistudio/claude-code-router,29218,29218,2239,14,14,1,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,22454,22454,2137,58,58,6,https://github.com/davila7/claude-code-templates
hesreallyhim/awesome-claude-code,26923,26923,1721,57,57,9,https://github.com/hesreallyhim/awesome-claude-code
anthropics/claude-code-action,6101,6101,1521,5,5,2,https://github.com/anthropics/claude-code-action
VoltAgent/awesome-claude-code-subagents,12923,12923,1391,23,23,3,https://github.com/VoltAgent/awesome-claude-code-subagents
shanraisshan/claude-code-best-practice,12675,12675,1186,105,105,6,https://github.com/shanraisshan/claude-code-best-practice
diet103/claude-code-infrastructure-showcase,9199,9199,1186,2,2,1,https://github.com/diet103/claude-code-infrastructure-showcase
frankbria/ralph-claude-code,7604,7604,537,12,12,1,https://github.com/frankbria/ralph-claude-code
Piebald-AI/claude-code-system-prompts,5529,5529,778,15,15,1,https://github.com/Piebald-AI/claude-code-system-prompts
OneRedOak/claude-code-workflows,3692,3692,547,1,1,0,https://github.com/OneRedOak/claude-code-workflows
ChrisWiles/claude-code-showcase,5462,5462,467,1,1,0,https://github.com/ChrisWiles/claude-code-showcase
1rgs/claude-code-proxy,3170,3170,423,0,0,0,https://github.com/1rgs/claude-code-proxy
disler/claude-code-hooks-mastery,3244,3244,571,2,2,0,https://github.com/disler/claude-code-hooks-mastery
ykdojo/claude-code-tips,4298,4298,306,14,14,0,https://github.com/ykdojo/claude-code-tips
zebbern/claude-code-guide,3540,3540,330,2,2,0,https://github.com/zebbern/claude-code-guide
kodu-ai/claude-coder,5290,5290,198,-1,-1,0,https://github.com/kodu-ai/claude-coder
Yuyz0112/claude-code-reverse,2168,2168,365,1,1,0,https://github.com/Yuyz0112/claude-code-reverse
Maciek-roboblog/Claude-Code-Usage-Monitor,6840,6840,335,1,1,0,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
pedrohcgs/claude-code-my-workflow,570,570,936,0,0,3,https://github.com/pedrohcgs/claude-code-my-workflow
anthropics/skills,87344,87344,9265,193,193,27,https://github.com/anthropics/skills
fuergaosi233/claude-code-proxy,2112,2112,299,1,1,0,https://github.com/fuergaosi233/claude-code-proxy
Cranot/claude-code-guide,2453,2453,260,0,0,0,https://github.com/Cranot/claude-code-guide
anthropics/claude-code-security-review,3646,3646,294,5,5,1,https://github.com/anthropics/claude-code-security-review
anthropics/claude-code-base-action,597,597,589,1,1,1,https://github.com/anthropics/claude-code-base-action
router-for-me/CLIProxyAPI,14458,14458,2344,62,62,4,https://github.com/router-for-me/CLIProxyAPI
RichardAtCT/claude-code-telegram,1982,1982,242,7,7,2,https://github.com/RichardAtCT/claude-code-telegram
edmund-io/edmunds-claude-code,1287,1287,266,3,3,1,https://github.com/edmund-io/edmunds-claude-code
https-deeplearning-ai/sc-claude-code-files,446,446,601,1,1,2,https://github.com/https-deeplearning-ai/sc-claude-code-files
qwibitai/nanoclaw,20492,20492,3422,115,115,34,https://github.com/qwibitai/nanoclaw
wshobson/agents,30702,30702,3366,40,40,2,https://github.com/wshobson/agents
eyaltoledano/claude-task-master,25831,25831,2443,3,3,-1,https://github.com/eyaltoledano/claude-task-master
Pimzino/claude-code-spec-workflow,3500,3500,247,2,2,0,https://github.com/Pimzino/claude-code-spec-workflow
siteboon/claudecodeui,8061,8061,1025,14,14,1,https://github.com/siteboon/claudecodeui
ding113/claude-code-hub,1670,1670,205,0,0,0,https://github.com/ding113/claude-code-hub
snarktank/ralph,12388,12388,1329,24,24,1,https://github.com/snarktank/ralph
EveryInc/compound-engineering-plugin,10079,10079,803,14,14,3,https://github.com/EveryInc/compound-engineering-plugin
carlvellotti/claude-code-pm-course,1587,1587,235,5,5,1,https://github.com/carlvellotti/claude-code-pm-course
feiskyer/claude-code-settings,1264,1264,188,1,1,0,https://github.com/feiskyer/claude-code-settings
ghuntley/claude-code-source-code-deobfuscation,855,855,417,0,0,0,https://github.com/ghuntley/claude-code-source-code-deobfuscation
sugyan/claude-code-webui,948,948,216,1,1,1,https://github.com/sugyan/claude-code-webui
